name,team,pos,gp,g,a,ppg,ppa,shg,sha,sog,hit,blk,pim,+/-,w,so,sv,ga
Alex Ovechkin,WSH,LW,82,32,32,5,14,0,0,244,134,16,26,-5
Anthony Mantha,PIT,RW,81,33,31,7,6,0,0,152,52,40,43,10
Robert Thomas,STL,C,64,25,39,3,11,2,1,102,10,40,24,22
Pavel Dorofeyev,VGK,RW,82,37,27,20,10,0,0,230,27,28,24,-3
Miro Heiskanen,DAL,D,77,9,54,2,26,1,0,148,21,132,30,9
Tom Wilson,WSH,RW,72,30,32,7,5,1,0,153,179,53,117,15
Ivan Demidov,MTL,RW,82,19,43,7,13,0,0,127,28,26,34,3
Charlie McAvoy,BOS,D,69,11,50,2,21,0,0,111,79,129,62,13
Sam Reinhart,FLA,C,64,29,32,11,14,3,1,166,59,40,10,-18
Evgeni Malkin,PIT,C,56,19,42,4,18,0,0,148,24,17,61,13
Ivan Barbashev,VGK,LW,82,23,38,2,4,0,0,133,137,37,14,20
Jakob Chychrun,WSH,D,80,26,34,8,10,0,0,221,58,114,62,20
Beckett Sennecke,ANA,RW,82,23,37,1,12,1,0,197,97,24,62,-12
John Carlson,ANA,D,71,14,46,2,12,0,0,153,26,106,32,9
Moritz Seider,DET,D,82,10,50,3,25,0,0,187,128,180,57,15
Mikhail Sergachev,UTA,D,78,10,49,5,21,0,2,159,38,125,44,2
Dylan Cozens,OTT,C,82,28,31,13,16,0,0,205,215,24,59,-7
Will Smith,SJS,C,69,24,35,8,9,0,0,166,16,12,16,1
Matthew Schaefer,NYI,D,82,23,36,8,10,0,0,222,40,111,38,13
Adam Fantilli,CBJ,C,82,24,35,4,9,0,0,214,139,51,38,-13
Brady Tkachuk,OTT,LW,60,22,37,5,15,1,0,221,162,19,71,4
Dylan Strome,WSH,C,80,19,39,6,15,0,0,143,11,53,46,2
Charlie Coyle,CBJ,C,82,20,38,7,6,0,0,144,111,53,14,3
Jackson LaCombe,ANA,D,82,10,48,3,14,1,1,157,74,128,19,-2
Sam Bennett,FLA,C,76,26,32,5,9,0,0,201,115,32,82,-10
Tyler Bertuzzi,CHI,LW,79,32,26,11,10,0,0,164,55,24,42,-16
Tomas Hertl,VGK,C,82,24,34,13,12,0,0,202,114,45,39,-17
Troy Terry,ANA,RW,61,19,38,1,11,2,2,161,2,16,14,11
Patrick Kane,DET,RW,67,16,41,2,17,0,0,169,21,24,16,-1
